root;twoPass;quality;bestQuality;goodQuality;rtQuality;constantBitrate;autoAltRef;noAltRef;allowResize;columnTiling;rowTiling;threads_1;threads_2;threads_4;threads_8;threads;arnrMaxFrames_0;arnrMaxFrames_5;arnrMaxFrames_15;arnrMaxFrames;arnrStrength_0;arnrStrength_3;arnrStrength_6;arnrStrength;revision;performance;size;cpu
1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1;v1.3.0;158882.6;238341;3.542796
1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;1;v1.3.0;158243.8;238341;3.542166
1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;1;v1.3.0;158630.8;238341;3.551128
1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;v1.3.0;158696;238341;3.512838
1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;1;v1.3.0;158879;238341;3.521862
1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;1;v1.3.0;158353.2;238341;3.530069
1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;v1.3.0;158989.8;238341;3.445554
1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;1;v1.3.0;158878.8;238341;3.553671
1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;1;v1.3.0;158777.4;238341;3.517183
1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;1;v1.3.0;158801.4;238341;3.522903
1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;v1.3.0;158506.4;238341;3.521955
1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;1;v1.3.0;159102.6;238341;3.471711
1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;v1.3.0;158655.6;238341;3.388022
1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;1;v1.3.0;158241.2;238341;3.372484
1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;v1.3.0;158604.8;238341;3.460635
